"","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","Week_Number","month","quarter","Events","EventsLabour.Day","EventsNo_Holiday","EventsSuper.Bowl","quarter2","quarter3","quarter4","month2","month3","month4","month5","month6","month7","month8","month9","month10","month11","month12"
"1",1643690.9,0,42.31,2.572,211.0963582,8.106,1,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2",1641957.44,1,38.51,2.548,211.2421698,8.106,2,2,1,"Super Bowl",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3",1611968.17,0,39.93,2.514,211.2891429,8.106,3,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4",1409727.59,0,46.63,2.561,211.3196429,8.106,4,2,1,"No_Holiday",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",1554806.68,0,46.5,2.625,211.3501429,8.106,5,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6",1439541.59,0,57.79,2.667,211.3806429,8.106,6,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7",1472515.79,0,54.58,2.72,211.215635,8.106,7,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",1404429.92,0,51.45,2.732,211.0180424,8.106,8,3,1,"No_Holiday",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9",1594968.28,0,62.27,2.719,210.8204499,7.808,9,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"10",1545418.53,0,65.86,2.77,210.6228574,7.808,10,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"11",1466058.28,0,66.32,2.808,210.4887,7.808,11,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"12",1391256.12,0,64.84,2.795,210.4391228,7.808,12,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"13",1425100.71,0,67.41,2.78,210.3895456,7.808,13,4,2,"No_Holiday",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"14",1603955.12,0,72.55,2.835,210.3399684,7.808,14,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",1494251.5,0,74.78,2.854,210.3374261,7.808,15,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"16",1399662.07,0,76.44,2.826,210.6170934,7.808,16,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"17",1432069.95,0,80.44,2.759,210.8967606,7.808,17,5,2,"No_Holiday",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",1615524.71,0,80.69,2.705,211.1764278,7.808,18,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"19",1542561.09,0,80.43,2.668,211.4560951,7.808,19,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"20",1503284.06,0,84.11,2.637,211.4537719,7.808,20,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"21",1422711.6,0,84.34,2.653,211.3386526,7.808,21,6,2,"No_Holiday",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"22",1492418.14,0,80.91,2.669,211.2235333,7.787,22,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"23",1546074.18,0,80.48,2.642,211.108414,7.787,23,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"24",1448938.92,0,83.15,2.623,211.1003854,7.787,24,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"25",1385065.2,0,83.36,2.608,211.2351443,7.787,25,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"26",1371986.6,0,81.84,2.64,211.3699032,7.787,26,7,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"27",1605491.78,0,87.16,2.627,211.5046621,7.787,27,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"28",1508237.76,0,87,2.692,211.6394211,7.787,28,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"29",1513080.49,0,86.65,2.664,211.6033633,7.787,29,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"30",1449142.92,0,85.22,2.619,211.5673056,7.787,30,8,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"31",1540163.53,0,81.21,2.577,211.5312479,7.787,31,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"32",1507460.69,1,78.69,2.565,211.4951902,7.787,32,9,3,"Labour Day",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"33",1430378.67,0,82.11,2.582,211.5224596,7.787,33,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"34",1351791.03,0,80.94,2.624,211.5972246,7.787,34,9,3,"No_Holiday",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"35",1453329.5,0,71.89,2.603,211.6719895,7.838,35,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"36",1508239.93,0,63.93,2.633,211.7467544,7.838,36,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"37",1459409.1,0,67.18,2.72,211.8137436,7.838,37,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"39",1384209.22,0,69.64,2.716,211.9088438,7.838,39,10,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"40",1551659.28,0,58.74,2.689,211.9563939,7.838,40,11,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"41",1494479.49,0,59.61,2.728,212.003944,7.838,41,11,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"42",1483784.18,0,51.41,2.771,211.8896737,7.838,42,11,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"44",1548033.78,0,49.27,2.708,211.607193,7.838,44,12,4,"No_Holiday",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"49",1444732.28,0,48.27,2.976,211.4047419,7.742,49,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",1391013.96,0,35.4,2.983,211.4574109,7.742,50,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1327405.42,0,44.04,3.016,211.8272343,7.742,51,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1316899.31,0,43.83,3.01,212.1970577,7.742,52,1,1,"No_Holiday",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
