"","Weekly_Sales","Fuel_Price","Unemployment","Week_Number","EventsLabour.Day","EventsNo_Holiday","month2","month3","month4","month5","month6","month7","month8","month9","month10","month11","month12"
"2",1641957.44,2.548,8.106,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"4",1409727.59,2.561,8.106,4,0,1,1,0,0,0,0,0,0,0,0,0,0
"5",1554806.68,2.625,8.106,5,0,1,0,1,0,0,0,0,0,0,0,0,0
"8",1404429.92,2.732,8.106,8,0,1,0,1,0,0,0,0,0,0,0,0,0
"11",1466058.28,2.808,7.808,11,0,1,0,0,1,0,0,0,0,0,0,0,0
"16",1399662.07,2.826,7.808,16,0,1,0,0,0,1,0,0,0,0,0,0,0
"19",1542561.09,2.668,7.808,19,0,1,0,0,0,0,1,0,0,0,0,0,0
"21",1422711.6,2.653,7.808,21,0,1,0,0,0,0,1,0,0,0,0,0,0
"22",1492418.14,2.669,7.787,22,0,1,0,0,0,0,0,1,0,0,0,0,0
"25",1385065.2,2.608,7.787,25,0,1,0,0,0,0,0,1,0,0,0,0,0
"28",1508237.76,2.692,7.787,28,0,1,0,0,0,0,0,0,1,0,0,0,0
"33",1430378.67,2.582,7.787,33,0,1,0,0,0,0,0,0,0,1,0,0,0
"36",1508239.93,2.633,7.838,36,0,1,0,0,0,0,0,0,0,0,1,0,0
"39",1384209.22,2.716,7.838,39,0,1,0,0,0,0,0,0,0,0,1,0,0
"40",1551659.28,2.689,7.838,40,0,1,0,0,0,0,0,0,0,0,0,1,0
"44",1548033.78,2.708,7.838,44,0,1,0,0,0,0,0,0,0,0,0,0,1
"51",1327405.42,3.016,7.742,51,0,1,0,0,0,0,0,0,0,0,0,0,0
"56",1456800.28,3.065,7.742,56,0,1,1,0,0,0,0,0,0,0,0,0,0
"59",1576818.06,3.488,7.742,59,0,1,0,1,0,0,0,0,0,0,0,0,0
"61",1495064.75,3.524,7.682,61,0,1,0,0,1,0,0,0,0,0,0,0,0
"62",1614259.35,3.622,7.682,62,0,1,0,0,1,0,0,0,0,0,0,0,0
"65",1455090.69,3.81,7.682,65,0,1,0,0,1,0,0,0,0,0,0,0,0
"68",1428218.27,3.907,7.682,68,0,1,0,0,0,1,0,0,0,0,0,0,0
"73",1438830.15,3.594,7.682,73,0,1,0,0,0,0,1,0,0,0,0,0,0
"76",1455119.97,3.575,7.962,76,0,1,0,0,0,0,0,1,0,0,0,0,0
"78",1352219.79,3.682,7.962,78,0,1,0,0,0,0,0,1,0,0,0,0,0
"79",1624383.75,3.684,7.962,79,0,1,0,0,0,0,0,0,1,0,0,0,0
"82",1464693.46,3.523,7.962,82,0,1,0,0,0,0,0,0,1,0,0,0,0
"85",1514259.78,3.526,7.962,85,0,1,0,0,0,0,0,0,0,1,0,0,0
"91",1445249.09,3.372,7.866,91,0,1,0,0,0,0,0,0,0,0,1,0,0
"96",1584083.95,3.172,7.866,96,0,1,0,0,0,0,0,0,0,0,0,0,1
"101",1550369.92,3.157,7.348,101,0,1,0,0,0,0,0,0,0,0,0,0,0
"102",1459601.17,3.261,7.348,102,0,1,0,0,0,0,0,0,0,0,0,0,0
"105",1636339.65,3.36,7.348,105,0,1,1,0,0,0,0,0,0,0,0,0,0
"110",1675431.16,3.669,7.348,110,0,1,0,1,0,0,0,0,0,0,0,0,0
"116",1521577.87,3.877,7.143,116,0,1,0,0,1,0,0,0,0,0,0,0,0
"119",1611096.05,3.688,7.143,119,0,1,0,0,0,1,0,0,0,0,0,0,0
"121",1555444.55,3.561,7.143,121,0,1,0,0,0,1,0,0,0,0,0,0,0
"122",1624477.58,3.501,7.143,122,0,1,0,0,0,0,1,0,0,0,0,0,0
"125",1527845.81,3.346,7.143,125,0,1,0,0,0,0,1,0,0,0,0,0,0
"129",1497954.76,3.311,6.908,129,0,1,0,0,0,0,0,1,0,0,0,0,0
"134",1494122.38,3.62,6.908,134,0,1,0,0,0,0,0,0,1,0,0,0,0
"137",1517428.87,3.717,6.908,137,0,1,0,0,0,0,0,0,0,1,0,0,0
"139",1437059.26,3.666,6.908,139,0,1,0,0,0,0,0,0,0,1,0,0,0
"141",1573072.81,3.601,6.573,141,0,1,0,0,0,0,0,0,0,0,1,0,0
